Dataset,Classifier,n_neighbors,weights,algorithm,leaf_size,p,metric,bootstrap,C,kernel,degree,gamma,coef0,shrinking,shrinkage,class_weight,decision_function_shape,random_state,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,oob_score,warm_start,learning_rate,n_restarts_optimizer,max_iter_predict,max_features,copy_X_train,multi_class,reg_param,tol,loss,subsample,min_weight_fraction_leaf,n_estimators,penalty,dual,fit_intercept,intercept_scaling,solver,max_iter,alpha,shuffle,max_leaf_nodes,early_stopping,n_iter_no_change,fit_prior,norm,eta0,var_smoothing,presort,min_impurity_decrease,Train accuracy,Train recall,Train precision,Train f1_score,Train time,Test accuracy,Test recall,Test precision,Test f1_score,Test time
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,1,uniform,,50,1,manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.021610799999962182,0.8414766558089034,0.8414766558089034,0.8414766558089034,0.8414766558089034,0.08725159999994503
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,37,distance,,30,2,minkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.024809100000084072,0.8154180238870793,0.8154180238870793,0.8154180238870793,0.8154180238870792,0.09423399999991489
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,1,uniform,,100,1,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.016183200000114084,0.8045602605863192,0.8045602605863192,0.8045602605863192,0.8045602605863192,0.09188969999991059
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,96,distance,,50,2,chebyshev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.018951199999946766,0.7904451682953312,0.7904451682953312,0.7904451682953312,0.7904451682953312,0.14858009999989008
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,1,distance,,50,2,chebyshev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.021033600000009756,0.7969598262757872,0.7969598262757872,0.7969598262757872,0.7969598262757872,0.034117000000151165
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,21,distance,,100,2,chebyshev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.019246999999950276,0.8056460369163952,0.8056460369163952,0.8056460369163952,0.8056460369163952,0.06929120000017974
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,59,distance,,70,1,manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.018461300000126357,0.8534201954397395,0.8534201954397395,0.8534201954397395,0.8534201954397395,0.14285830000017086
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,65,distance,,10,1,minkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.02568110000015622,0.8479913137893594,0.8479913137893594,0.8479913137893594,0.8479913137893594,0.15120679999995446
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,86,distance,,30,2,minkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.9997282608695652,0.027135599999837723,0.7991313789359392,0.7991313789359392,0.7991313789359392,0.7991313789359392,0.1161186000001635
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.KNeighborsClassifier,42,uniform,,70,2,chebyshev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7505434782608695,0.7505434782608695,0.7505434782608695,0.7505434782608695,0.024570700000140278,0.7350705754614549,0.7350705754614549,0.7350705754614549,0.7350705754614549,0.15141130000006342
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.GaussianProcessClassifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\s-moh\0-Labwork\AutoMetaLearning\AutoMLMetaLearn\sample\dataset_44_spambase.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,50,17,1,,,,,,0.5218483217500717,,,,,,,,,,,,,,,,,49,,,,,,,,0.11827442586893322,0.7913043478260869,0.7913043478260869,0.7913043478260869,0.791304347826087,0.01878620000002229,0.7915309446254072,0.7915309446254072,0.7915309446254072,0.7915309446254072,0.001778399999921021
