Dataset,Classifier,n_neighbors,weights,algorithm,leaf_size,p,metric,bootstrap,C,kernel,degree,gamma,coef0,shrinking,shrinkage,class_weight,decision_function_shape,random_state,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,oob_score,warm_start,learning_rate,n_restarts_optimizer,max_iter_predict,max_features,copy_X_train,multi_class,reg_param,tol,loss,subsample,min_weight_fraction_leaf,n_estimators,penalty,dual,fit_intercept,intercept_scaling,solver,max_iter,alpha,shuffle,max_leaf_nodes,early_stopping,n_iter_no_change,fit_prior,norm,eta0,var_smoothing,presort,min_impurity_decrease,Train accuracy,Train recall,Train precision,Train f1_score,Train time,Test accuracy,Test recall,Test precision,Test f1_score,Test time
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,8,uniform,,50,1,manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9632034632034632,0.9632034632034632,0.9632034632034632,0.9632034632034632,0.003327318001538515,0.9502164502164502,0.9502164502164502,0.9502164502164502,0.9502164502164502,0.024131822865456343
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,44,distance,,30,2,minkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0031625889241695404,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.9242424242424242,0.01830860786139965
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,8,uniform,,100,1,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9485930735930735,0.9485930735930735,0.9485930735930735,0.9485930735930735,0.003012050176039338,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.022216981975361705
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,93,distance,,50,2,chebyshev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.003124044043943286,0.8528138528138528,0.8528138528138528,0.8528138528138528,0.8528138528138528,0.025210255989804864
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,8,distance,,50,2,chebyshev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0032132770866155624,0.9307359307359307,0.9307359307359307,0.9307359307359307,0.9307359307359307,0.007659535855054855
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,20,distance,,100,2,chebyshev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.002968437038362026,0.8917748917748918,0.8917748917748918,0.8917748917748918,0.8917748917748918,0.012807014863938093
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,57,distance,,70,1,manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.002935925032943487,0.9415584415584416,0.9415584415584416,0.9415584415584416,0.9415584415584416,0.025939816143363714
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,63,distance,,10,1,minkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0033992519602179527,0.9415584415584416,0.9415584415584416,0.9415584415584416,0.9415584415584416,0.0340189749840647
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,90,distance,,30,2,minkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0031964059453457594,0.9004329004329005,0.9004329004329005,0.9004329004329005,0.9004329004329005,0.026903168996796012
Datasets_all/phpyM5ND4.csv,sklearn.KNeighborsClassifier,48,uniform,,70,2,chebyshev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8008658008658008,0.8008658008658008,0.8008658008658008,0.8008658008658008,0.0031005549244582653,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.02736432501114905
